Title2,Title3
Total Recreation Visits for Aug 2020,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present)

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Aniakchak NM & PRES,35,4,-31,90,22,-68,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Bering Land Bridge NPRES,156,156,0,"1,809","1,809",0,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Cape Krusenstern NM,"1,670",585,"-1,085","8,821","3,952","-4,869",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Denali NP & PRES,"154,044","14,482","-139,562","531,271","44,305","-486,966",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Gates of the Arctic NP & PRES,"5,399","1,195","-4,204","9,517","2,378","-7,139",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Glacier Bay NP & PRES,"145,002","1,489","-143,513","555,503","4,749","-550,754",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Katmai NP & PRES,"23,772","14,771","-9,001","71,280","37,543","-33,737",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Kenai Fjords NP,"78,129","32,689","-45,440","319,104","89,940","-229,164",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Klondike Gold Rush NHP Alaska,"219,853",36,"-219,817","970,125",160,"-969,965",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Kobuk Valley NP,"1,770",620,"-1,150","9,061","4,480","-4,581",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Lake Clark NP & PRES,"5,580","1,418","-4,162","14,812","3,819","-10,993",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Noatak NPRES,"1,720",600,"-1,120","9,211","4,528","-4,683",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Sitka NHP,"47,134","15,402","-31,732","187,507","84,037","-103,470",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Wrangell-St. Elias NP & PRES,"20,779","6,077","-14,702","66,038","12,710","-53,328",Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Alaska Region,Yukon-Charley Rivers NPRES,246,164,-82,957,461,-496,Alaska Region Total,"705,289","89,688","-615,601","2,755,106","294,893","-2,460,213"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
