Title2,Title3
Total Recreation Visits for Jul 2020,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present)

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Aniakchak NM & PRES,35,6,-29,55,18,-37,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Bering Land Bridge NPRES,438,438,0,"1,653","1,653",0,Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Cape Krusenstern NM,"1,700",595,"-1,105","7,151","3,367","-3,784",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Denali NP & PRES,"168,078","13,802","-154,276","377,227","29,823","-347,404",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Gates of the Arctic NP & PRES,"2,852","1,178","-1,674","4,118","1,183","-2,935",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Glacier Bay NP & PRES,"152,932","1,480","-151,452","410,501","3,260","-407,241",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Katmai NP & PRES,"37,318","14,922","-22,396","47,508","22,772","-24,736",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Kenai Fjords NP,"120,632","31,809","-88,823","240,975","57,251","-183,724",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Klondike Gold Rush NHP Alaska,"266,219",76,"-266,143","750,272",124,"-750,148",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Kobuk Valley NP,"1,750",612,"-1,138","7,291","3,860","-3,431",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Lake Clark NP & PRES,"5,114","1,482","-3,632","9,232","2,401","-6,831",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
JUL 2019,JUL 2020,YTD 2019,YTD 2020,Alaska Region,Noatak NPRES,"1,750",613,"-1,137","7,491","3,928","-3,563",Alaska Region Total,"833,903","88,289","-745,614","2,049,817","205,205","-1,844,612"
