Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Aniakchak NM & PRES,20,12,-8,20,12,-8,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Bering Land Bridge NPRES,148,148,0,"1,215","1,215",0,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Cape Krusenstern NM,"1,398",490,-908,"5,451","2,772","-2,679",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Denali NP & PRES,"144,156","10,031","-134,125","209,149","16,021","-193,128",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Gates of the Arctic NP & PRES,647,5,-642,"1,266",5,"-1,261",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Glacier Bay NP & PRES,"132,054",807,"-131,247","257,569","1,780","-255,789",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Katmai NP & PRES,"9,690","7,749","-1,941","10,190","7,850","-2,340",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Kenai Fjords NP,"91,280","21,121","-70,159","120,343","25,442","-94,901",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Klondike Gold Rush NHP Alaska,"250,151",36,"-250,115","484,053",48,"-484,005",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Kobuk Valley NP,"1,398",490,-908,"5,541","3,248","-2,293",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Lake Clark NP & PRES,"3,751",254,"-3,497","4,118",919,"-3,199",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Noatak NPRES,"1,398",490,-908,"5,741","3,315","-2,426",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Sitka NHP,"45,134","15,180","-29,954","89,014","52,918","-36,096",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Wrangell-St. Elias NP & PRES,"16,445",70,"-16,375","21,887","1,223","-20,664",Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Alaska Region,Yukon-Charley Rivers NPRES,182,72,-110,357,148,-209,Alaska Region Total,"697,852","56,955","-640,897","1,215,914","116,916","-1,098,998"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
