Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Bering Land Bridge NPRES,216,216,0,895,895,0,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Cape Krusenstern NM,708,248,-460,"3,275","2,012","-1,263",Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Denali NP & PRES,"3,686",5,"-3,681","10,998","5,885","-5,113",Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Gates of the Arctic NP & PRES,91,0,-91,165,0,-165,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Glacier Bay NP & PRES,"3,642",168,"-3,474","4,183",687,"-3,496",Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Katmai NP & PRES,100,20,-80,400,80,-320,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Kenai Fjords NP,21,2,-19,119,160,41,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Klondike Gold Rush NHP Alaska,2,0,-2,20,0,-20,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Kobuk Valley NP,808,282,-526,"3,365","2,486",-879,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Lake Clark NP & PRES,0,0,0,0,659,659,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Noatak NPRES,808,280,-528,"3,365","2,482",-883,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Sitka NHP,"4,534","10,761","6,227","14,832","22,422","7,590",Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
APR 2019,APR 2020,YTD 2019,YTD 2020,Alaska Region,Wrangell-St. Elias NP & PRES,520,520,0,870,870,0,Alaska Region Total,"15,173","12,513","-2,660","42,648","38,689","-3,959"
