Title2,Title3
Total Recreation Visits for Nov 2020,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present)

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Aniakchak NM & PRES,0,0,0,100,36,-64,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Bering Land Bridge NPRES,182,182,0,"2,474","2,474",0,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Cape Krusenstern NM,"2,569","2,569",0,"14,515","9,658","-4,857",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Denali NP & PRES,"1,799",5,"-1,794","598,437","54,846","-543,591",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Gates of the Arctic NP & PRES,0,0,0,"10,518","2,872","-7,646",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Glacier Bay NP & PRES,172,173,1,"671,916","5,577","-666,339",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Katmai NP & PRES,100,20,-80,"84,067","51,491","-32,576",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Kenai Fjords NP,7,33,26,"356,578","115,835","-240,743",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Klondike Gold Rush NHP Alaska,52,0,-52,"1,115,956",254,"-1,115,702",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Kobuk Valley NP,"1,569","1,569",0,"14,155","9,574","-4,581",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Lake Clark NP & PRES,0,227,227,"17,157","4,948","-12,209",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Noatak NPRES,"2,669","2,669",0,"15,205","10,522","-4,683",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Sitka NHP,"4,408","6,580","2,172","229,777","107,715","-122,062",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Wrangell-St. Elias NP & PRES,60,60,0,"74,483","16,620","-57,863",Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Alaska Region,Yukon-Charley Rivers NPRES,0,8,8,"1,114",646,-468,Alaska Region Total,"13,587","14,095",508,"3,206,452","393,068","-2,813,384"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"2,190,814","2,329,133","138,319","54,166,801","40,465,924","-13,700,877"
