Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
OCT 2019,OCT 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"25,328","15,589","-9,739","3,192,865","378,973","-2,813,892"
