Title2,Title3
Total Recreation Visits for Sep 2020,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present)

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,,,,,,,,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,Aniakchak NM & PRES,10,14,4,100,36,-64,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,Bering Land Bridge NPRES,61,61,0,"1,870","1,870",0,Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,Cape Krusenstern NM,"1,438","1,450",12,"10,259","5,402","-4,857",Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,Denali NP & PRES,"61,504","10,523","-50,981","592,775","54,828","-537,947",Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,Gates of the Arctic NP & PRES,966,477,-489,"10,483","2,855","-7,628",Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,Glacier Bay NP & PRES,"111,922",476,"-111,446","667,425","5,225","-662,200",Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
SEP 2019,SEP 2020,YTD 2019,YTD 2020,Alaska Region,Katmai NP & PRES,"12,587","13,908","1,321","83,867","51,451","-32,416",Alaska Region Total,"412,431","68,491","-343,940","3,167,537","363,384","-2,804,153"
